HomeTeam,AwayTeam,Year,HomeGoals,AwayGoals,TotalGoals,Outcome
France,Mexico,1930,4,1,5,HomeTeam Win
Argentina,France,1930,1,0,1,HomeTeam Win
Chile,Mexico,1930,3,0,3,HomeTeam Win
Chile,France,1930,1,0,1,HomeTeam Win
Argentina,Mexico,1930,6,3,9,HomeTeam Win
Argentina,Chile,1930,3,1,4,HomeTeam Win
Yugoslavia,Brazil,1930,2,1,3,HomeTeam Win
Yugoslavia,Bolivia,1930,4,0,4,HomeTeam Win
Brazil,Bolivia,1930,4,0,4,HomeTeam Win
Romania,Peru,1930,3,1,4,HomeTeam Win
Uruguay,Peru,1930,1,0,1,HomeTeam Win
Uruguay,Romania,1930,4,0,4,HomeTeam Win
United States,Belgium,1930,3,0,3,HomeTeam Win
United States,Paraguay,1930,3,0,3,HomeTeam Win
Paraguay,Belgium,1930,1,0,1,HomeTeam Win
Argentina,United States,1930,6,1,7,HomeTeam Win
Uruguay,Yugoslavia,1930,6,1,7,HomeTeam Win
Uruguay,Argentina,1930,4,2,6,HomeTeam Win
Spain,Brazil,1934,3,1,4,HomeTeam Win
Hungary,Egypt,1934,4,2,6,HomeTeam Win
Switzerland,Netherlands,1934,3,2,5,HomeTeam Win
Italy,United States,1934,7,1,8,HomeTeam Win
Czechoslovakia,Romania,1934,2,1,3,HomeTeam Win
Sweden,Argentina,1934,3,2,5,HomeTeam Win
Austria,France,1934,3,2,5,HomeTeam Win
Germany,Belgium,1934,5,2,7,HomeTeam Win
Austria,Hungary,1934,2,1,3,HomeTeam Win
Italy,Spain,1934,1,1,2,Draw
Germany,Sweden,1934,2,1,3,HomeTeam Win
Czechoslovakia,Switzerland,1934,3,2,5,HomeTeam Win
Italy,Spain,1934,1,0,1,HomeTeam Win
Italy,Austria,1934,1,0,1,HomeTeam Win
Czechoslovakia,Germany,1934,3,1,4,HomeTeam Win
Germany,Austria,1934,3,2,5,HomeTeam Win
Italy,Czechoslovakia,1934,2,1,3,HomeTeam Win
Switzerland,Germany,1938,1,1,2,Draw
Hungary,Dutch East Indies,1938,6,0,6,HomeTeam Win
Cuba,Romania,1938,3,3,6,Draw
France,Belgium,1938,3,1,4,HomeTeam Win
Italy,Norway,1938,2,1,3,HomeTeam Win
Brazil,Poland,1938,6,5,11,HomeTeam Win
Czechoslovakia,Netherlands,1938,3,0,3,HomeTeam Win
Switzerland,Germany,1938,4,2,6,HomeTeam Win
Cuba,Romania,1938,2,1,3,HomeTeam Win
Hungary,Switzerland,1938,2,0,2,HomeTeam Win
Sweden,Cuba,1938,8,0,8,HomeTeam Win
Italy,France,1938,3,1,4,HomeTeam Win
Brazil,Czechoslovakia,1938,1,1,2,Draw
Brazil,Czechoslovakia,1938,2,1,3,HomeTeam Win
