Team,win_pct,final_pct,semi_pct,qf_pct
France,22.4,30.6,40.6,59.7
Netherlands,19.4,29.4,38.3,65.8
Brazil,8.4,15.9,26.4,42.1
Argentina,7.5,15.3,27.9,44.6
Colombia,6.3,14.6,29.1,49.0
Germany,5.5,10.5,16.5,35.6
Belgium,4.5,9.3,27.3,46.6
England,3.9,8.3,17.4,34.3
Portugal,3.5,9.3,22.6,40.8
Croatia,3.3,8.4,18.5,34.0
Uruguay,2.5,6.2,14.9,27.1
Spain,2.2,5.3,12.8,26.2
South Africa,1.5,4.1,9.2,21.5
Austria,1.4,4.0,11.2,22.2
Senegal,1.1,4.7,11.3,23.2
Ecuador,1.1,3.0,6.3,13.5
Mexico,0.9,2.8,7.0,20.1
Uzbekistan,0.4,1.1,3.7,9.8
Paraguay,0.4,1.9,6.5,15.8
Switzerland,0.4,1.7,6.0,15.9
United States,0.4,1.9,6.5,18.6
Japan,0.4,1.7,5.1,12.2
South Korea,0.3,1.2,3.8,11.7
Morocco,0.3,0.9,2.7,9.0
Ghana,0.3,1.1,3.9,11.5
Curaçao,0.2,1.0,3.2,9.9
Norway,0.2,0.9,2.8,7.6
Ivory Coast,0.2,1.1,2.7,7.4
Algeria,0.2,0.7,2.4,7.4
Australia,0.2,0.7,2.6,9.7
Scotland,0.2,0.7,2.2,7.8
Egypt,0.1,0.3,1.6,6.8
Saudi Arabia,0.1,0.2,0.9,3.8
Haiti,0.0,0.0,0.1,0.8
Iran,0.0,0.1,0.9,3.9
Tunisia,0.0,0.2,0.9,3.6
New Zealand,0.0,0.3,1.4,5.7
Qatar,0.0,0.1,0.3,2.1
Canada,0.0,0.0,0.3,2.7
Cape Verde,0.0,0.3,1.4,5.9
Jordan,0.0,0.2,0.9,3.6
Panama,0.0,0.0,0.1,0.7
